"Unsere Gastronomiemitglieder haben mit uns eine schriftliche Vereinbarung, wonach sie die Grundregeln der glutenfreien Ernährung in Restaurationsbetrieben 
8005,"Hitzberger Fastfood 
Zürich Puls 5","Giessereistrasse 18
8005 Zürich",www.hitzberger.ch,"044 271 24 00
","Das Schnellverpflegungskonzept Hitzberger – Fastfood
natürlich bietet an folgenden Standorten ein Sortiment an
glutenfreien Salaten, Curries, Suppen, Smoothies und Säften
sowie Desserts (die glutenfreien Angebote sind entsprechend gekennzeichnet).",
8005,Restaurant Don Weber,"Heinrichstrasse 213
8005 Zürich",www.donweber.ch,"044 272 05 40
info@donweber.ch","Wir haben eine gut gekennzeichnete spezielle gluten- &
laktosefreie Speisekarte, die Sie gerne bei unseren Don’s &
Doñas verlangen können.
Unsere mexikanischen Klassiker wie Nachos, Fajitas & Burritos, sowie unsere verschiedenen Burgers sind der Renner. Nicht zu vergessen unser gluten- & laktosefreies warmes Schoggiküchlein zum Abschluss – der Traum jedes Allergiker’s. Im Angebot ist immer mind. 1 glutenfreies Bier welches optimal zu einem Bistec de Carne, Mexican Pollo oder Surf Ajillo passt.",
8005,Menu & More AG,"Sihlquai 340
8005 Zürich",www.menuandmore.ch,"044 448 26 11
info@menuandmore.ch","Wir bieten Horten und Krippen verschiedene glutenfreie
Menükomponenten, die als glutenfrei deklariert sind. Zusätzlich bieten wir als Zusatzsortiment 23 laktose- und glutenfreie Produkte als Einzelportionen verpackt, an (Eiweisskomponenten inkl. Vegi, Saucen, Stärkebeilagen). Bestellung der Mahlzeiten bis 4 Arbeitstage vor dem Menüdatum empfehlenswert.",
8006,Les Gourmandises de Miyuko,"Beckenhofstrasse 24
8006 Zürich",www.miyuko.ch,"044 350 21 43
info@miyuko.ch","Unsere bekannten Torten, Kuchen, Scones aber auch Speisen
für den kleinen Hunger sind in der Menükarte gekennzeichnet und aus eigener Produktion. Eine Online Reservation fürs Miyuko Gnüsser Zmorge, Tea Time oder den Prinzessinen Kafi Klatsch wird empfohlen. ",
8006,"Restaurant Linde Oberstrass
(Gamag Management AG)","Universitätsstrasse 91
8006 Zürich",www.linde-oberstrass.ch,"044 362 21 09
linde@remimag.ch","Kulinarisch bietet die Linde alles, was zum hauseigenen Bier passt. Von Bagels und Hefeteigfladen über bodenständige Hausmannskost bis hin zu leichten Salatkreationen. An lauen Sommerabenden lädt der Biergarten zum Verweilen ein. Das Speiseangebot umfasst mittags und abends während den Servicezeiten immer glutenfreie Produkte, unabhängig ob Suppe, Vorspeise oder Hauptgang.",
8032,"Design Hotel Plattenhof 
& Restaurant Sento","Zürichbergstrasse 19
8032 Zürich",www.sento.ch,"044 251 19 10
restaurant@sento.ch","Das Angebot umfasst verschiedene glutenfreie Fisch- und
Fleischgerichte, Salate (z.B. Pouletsalat), glutenfreie Teigwaren und glutenfreies Brot. Das Personal ist bestens informiert. Bitte die Details jeweils bei der Bestellung besprechen.",
8045,"Schützenhaus Albisgütli
(Gamag Management AG)","Uetlibergstrasse 341
8045 Zürich",www.albisguetli.ch,"043 333 30 00
info@albisguetli.ch","Kulinarischen Genuss finden Sie bei uns in unterschiedlichen Räumlichkeiten. Geniessen Sie im gediegenen Ambiente unserer Taverne schweizerische Köstlichkeiten. Die Wirtschaft ist der richtige Rahmen für ein üppiges Essen oder den kleinen Imbiss vor dem Konzert. Das Gartenrestaurant und die neue Lounge laden besonders an lauen Sommerabenden zum Verweilen ein. Unter grossen Bäumen, die Schatten spenden, lässt sich die Aussicht über Zürich besonders angenehm geniessen. In unserem Gartenrestaurant erhalten Sie sämtliche Speisen, die Sie auch in den Räumlichkeiten bekommen. Die Lounge mit ihren bequemen Sesseln eignet sich perfekt zum Genuss von kleinen Häppchen, erlesenen Apéro-Weinen oder Champagner. Das Speiseangebot umfasst mittags und abends während den Servicezeiten immer glutenfreie Produkte, unabhängig ob Suppe, Vorspeise oder Hauptgang.",
8045,"Hitzberger Fastfood 
Zürich Sihlcity","Sihlcity Mall Mitte (Ebene 0)
8045 Zürich",www.hitzberger.ch,044 201 34 00,"Das Schnellverpflegungskonzept Hitzberger – Fastfood
natürlich bietet an folgenden Standorten ein Sortiment an
glutenfreien Salaten, Curries, Suppen, Smoothies und Säften
sowie Desserts (die glutenfreien Angebote sind entsprechend gekennzeichnet).",
8050,Telepizza Zürich Oerlikon,"Dörflistrasse 117
8050 Zürich",www.telepizza.ch,"Zentrale 0844 33 33 33
Tel. direkt: 043 300 60 30","Wir bieten glutenfreie Pizzen in unseren verschiedenen Filialen an z.B. Pizza Margherita, Salami und Hawai. Dazu reichen wir Ihnen gerne ein glutenfreies Bier. Bei den Desserts haben Sie eine Auswahl aus einzelverpackten Produkten. ",
8057,Kerala Restaurant ,"Hofwiesenstrasse 188
8057 Zürich",www.keralarestaurant.ch,"044 364 45 77
","90 Prozent unseres Angebotes (Fleisch-, Fisch-, Reis- und
vegetarische Gerichte) ist glutenfrei. Auch für Personen mit
Laktoseintoleranz oder Milchallergie haben wir eine grosse
Auswahl. Die glutenfreien Gerichte sind auf der Karte entsprechend
vermerkt. Wir haben Erfahrung in der Familie mit
Zöliakiebetroffenen, führen aber kein glutenfreies Brot.",
